Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
"Nokia 5.4 (Polar Night, 64 GB)",https://www.flipkart.com/nokia-5-4-polar-night-64-gb/p/itmda0c85979b02c?pid=MOBFZYR4KPXHUCET,Nokia,12990,12990,0,955,148,MOBFZYR4KPXHUCET,3.9,4 GB
"Nokia 5.4 (Polar Night, 64 GB)",https://www.flipkart.com/nokia-5-4-polar-night-64-gb/p/itm23738300c5fd0?pid=MOBFZYR4MG5TRZCH,Nokia,15499,18499,16,682,129,MOBFZYR4MG5TRZCH,3.9,6 GB
"Ismart I1 Mini (Gold, 16 GB)",https://www.flipkart.com/ismart-i1-mini-gold-16-gb/p/itme535e9351b076?pid=MOBFZYRGT8YCRZGF,Ismart,4769,4769,0,8,1,MOBFZYRGT8YCRZGF,1.9,2 GB
"I Kall K9 (Navy Blue, 16 GB)",https://www.flipkart.com/kall-k9-navy-blue-16-gb/p/itm92df9bcc8fd73?pid=MOBFZYXD844ZCJXZ,IKall,4549,4549,0,7897,765,MOBFZYXD844ZCJXZ,3.4,2 GB
"I Kall K280 (Slate Grey, 32 GB)",https://www.flipkart.com/kall-k280-slate-grey-32-gb/p/itm728c7c35f8613?pid=MOBFZYY9RMBZCG8H,IKall,6110,6499,5,1733,173,MOBFZYY9RMBZCG8H,3,3 GB
"I Kall K280 (Charcoal Black, 32 GB)",https://www.flipkart.com/kall-k280-charcoal-black-32-gb/p/itm728c7c35f8613?pid=MOBFZYYYXHWXK6EK,IKall,6110,6549,6,1733,173,MOBFZYYYXHWXK6EK,3,3 GB
"I Kall K900 (Blue, 64 GB)",https://www.flipkart.com/kall-k900-blue-64-gb/p/itmc5f10316af1f1?pid=MOBFZZ2NAZ9ZSYVF,IKall,5699,5699,0,4934,534,MOBFZZ2NAZ9ZSYVF,3,4 GB
"I Kall K1 (Knight Black, 8 GB)",https://www.flipkart.com/kall-k1-knight-black-8-gb/p/itm078f8deba71d6?pid=MOBFZZ3ASBAWQMDA,IKall,3782,4249,10,12,2,MOBFZZ3ASBAWQMDA,3.2,1 GB
"I Kall K4 (Red, 16 GB)",https://www.flipkart.com/kall-k4-red-16-gb/p/itmfggwpfhzgf668?pid=MOBFZZ3ZTX8YHMFM,IKall,4170,4699,11,3253,280,MOBFZZ3ZTX8YHMFM,3.3,2 GB
"I Kall K600 (Yellow Gold, 16 GB)",https://www.flipkart.com/kall-k600-yellow-gold-16-gb/p/itmd7890291adad4?pid=MOBFZZ46AB8CDXGW,IKall,3899,4499,13,1329,118,MOBFZZ46AB8CDXGW,3,2 GB
"I Kall K5 (Navy Blue, 16 GB)",https://www.flipkart.com/kall-k5-navy-blue-16-gb/p/itmfggpzvuw3pqpy?pid=MOBFZZ6F6YGH5UEQ,IKall,4170,4699,11,1605,138,MOBFZZ6F6YGH5UEQ,3.6,2 GB
"MOTOROLA Razr (Black, 128 GB)",https://www.flipkart.com/motorola-razr-black-128-gb/p/itm4c4bee7d49861?pid=MOBFZZC4AWRCPCQY,Motorola,74999,149999,50,114,5,MOBFZZC4AWRCPCQY,3.7,6 GB
"I Kall K220 (Navy Blue, 16 GB)",https://www.flipkart.com/kall-k220-navy-blue-16-gb/p/itm22559e3430cde?pid=MOBFZZWQ6BMZTGRA,IKall,4549,4549,0,760,59,MOBFZZWQ6BMZTGRA,3.2,2 GB
"I Kall K475 (Black, 64 GB)",https://www.flipkart.com/kall-k475-black-64-gb/p/itmb3926c5b4f8ab?pid=MOBGF2UNJBZ2CHNA,IKall,6499,6499,0,25,1,MOBGF2UNJBZ2CHNA,2.8,4 GB
"I Kall K475 (Cyan, 64 GB)",https://www.flipkart.com/kall-k475-cyan-64-gb/p/itmb3926c5b4f8ab?pid=MOBGF2WQEUTVVSA9,IKall,6499,6499,0,25,1,MOBGF2WQEUTVVSA9,2.8,4 GB
"IKall K460 (Pink, 16 GB)",https://www.flipkart.com/ikall-k460-pink-16-gb/p/itm0dbcafd49d092?pid=MOBGF2XMKAZ4GJWG,IKall,4170,4299,3,7,0,MOBGF2XMKAZ4GJWG,2.1,2 GB
"Coolpad COOL 1 (Gold, 32 GB)",https://www.flipkart.com/coolpad-cool-1-gold-32-gb/p/itmb9b4dc20274b4?pid=MOBGF2YZXHCGHYQR,Coolpad,6390,6390,0,0,0,MOBGF2YZXHCGHYQR,0,3 GB
"TCL L7 (Black, 32 GB)",https://www.flipkart.com/tcl-l7-black-32-gb/p/itm7c1b8f504ef41?pid=MOBGF38YTK5ZHZYB,TCL,5299,5599,5,0,0,MOBGF38YTK5ZHZYB,0,2 GB
"I Kall K450 (Blue, 16 GB)",https://www.flipkart.com/kall-k450-blue-16-gb/p/itm692761a33a7de?pid=MOBGF456BD9GA5SG,IKall,3999,3999,0,41,2,MOBGF456BD9GA5SG,3.5,2 GB
"I Kall K450 (Red, 16 GB)",https://www.flipkart.com/kall-k450-red-16-gb/p/itm692761a33a7de?pid=MOBGF458NGZ49NGV,IKall,3999,3999,0,41,2,MOBGF458NGZ49NGV,3.5,2 GB
"REDMI Note 10 Pro Max (Glacial Blue, 128 GB)",https://www.flipkart.com/redmi-note-10-pro-max-glacial-blue-128-gb/p/itmfcdaff39806aa?pid=MOBGF47C43EMBGJH,Redmi,24990,24990,0,5,0,MOBGF47C43EMBGJH,4.6,8 GB
"REDMI Note 10 Pro (Vintage Bronze, 128 GB)",https://www.flipkart.com/redmi-note-10-pro-vintage-bronze-128-gb/p/itm2c659153308af?pid=MOBGF47C4DT5GEMK,Redmi,21948,21948,0,0,0,MOBGF47C4DT5GEMK,0,8 GB
"REDMI Note 10 (Shadow Black, 128 GB)",https://www.flipkart.com/redmi-note-10-shadow-black-128-gb/p/itme39d26cf7eecc?pid=MOBGF47C87FNBZMG,Redmi,15999,15999,0,51,3,MOBGF47C87FNBZMG,4.4,4 GB
"REDMI Note 10 (Aqua Green, 64 GB)",https://www.flipkart.com/redmi-note-10-aqua-green-64-gb/p/itm1820ea99832a9?pid=MOBGF47C9VZTMQPM,Redmi,13620,13620,0,51,3,MOBGF47C9VZTMQPM,4.4,4 GB
"REDMI Note 10 (Shadow Black, 128 GB)",https://www.flipkart.com/redmi-note-10-shadow-black-128-gb/p/itm23973bd36fd21?pid=MOBGF47CABQTQ6AT,Redmi,15925,15925,0,310,20,MOBGF47CABQTQ6AT,4.2,6 GB
"REDMI Note 10 (Aqua Green, 128 GB)",https://www.flipkart.com/redmi-note-10-aqua-green-128-gb/p/itm23973bd36fd21?pid=MOBGF47CCGXUZPAP,Redmi,15599,15599,0,310,20,MOBGF47CCGXUZPAP,4.2,6 GB
"REDMI Note 10 (Frost White, 64 GB)",https://www.flipkart.com/redmi-note-10-frost-white-64-gb/p/itm23973bd36fd21?pid=MOBGF47CDJGHVX9Q,Redmi,13269,13269,0,51,3,MOBGF47CDJGHVX9Q,4.4,4 GB
"REDMI Note 10 Pro (Vintage Bronze, 128 GB)",https://www.flipkart.com/redmi-note-10-pro-vintage-bronze-128-gb/p/itm04ba1f0aed358?pid=MOBGF47CEWQQVMWA,Redmi,19953,19953,0,0,0,MOBGF47CEWQQVMWA,0,6 GB
